date,equity
2021-06-08,102350.40486689203
2021-06-09,102728.99921208402
2021-06-10,103027.44599662202
2021-06-11,102673.99638864203
2021-06-14,102827.84546370002
2021-06-15,102401.64319932403
2021-06-16,102765.54055906601
2021-06-17,103386.39279284402
2021-06-18,103989.47456632002
2021-06-21,104383.10624820403
2021-06-22,104445.77213142802
2021-06-23,104925.23420834003
2021-06-24,105181.37430213002
2021-06-25,105347.07378861403
2021-06-28,105490.86703152202
2021-06-29,105469.63117675601
2021-06-30,105469.63117675601
2021-07-01,105469.63117675601
2021-07-02,105469.63117675601
2021-07-06,105469.63117675601
2021-07-07,105469.63117675601
2021-07-08,105469.63117675601
2021-07-09,105469.63117675601
2021-07-12,105469.63117675601
2021-07-13,105469.63117675601
2021-07-14,105469.63117675601
2021-07-15,105469.63117675601
2021-07-16,105469.63117675601
2021-07-19,105469.63117675601
2021-07-20,105469.63117675601
2021-07-21,105676.67818230603
2021-07-22,105575.31539423403
2021-07-23,105550.76885011404
2021-07-26,105786.90041634401
2021-07-27,105624.61475595403
2021-07-28,105688.20886983801
2021-07-29,105771.45053269202
2021-07-30,105436.39020545402
2021-08-02,105409.84280857803
2021-08-03,105409.84280857803
2021-08-04,105056.46539631602
2021-08-05,105022.85313275002
2021-08-06,105127.80507937401
2021-08-09,105151.92876286001
2021-08-10,105491.55804768001
2021-08-11,105635.13470343403
2021-08-12,105011.31213154402
2021-08-13,105067.98577017401
2021-08-16,105139.16043444803
2021-08-17,104961.07422549003
2021-08-18,104466.47167514602
2021-08-19,104672.05413898801
2021-08-20,104733.595831746
2021-08-23,105736.50780518002
2021-08-24,105975.99131546
2021-08-25,106642.59500710202
2021-08-26,106205.79028585403
2021-08-27,107118.25133830802
2021-08-30,106764.20353723603
2021-08-31,106581.73401682802
2021-09-01,106411.05302580202
2021-09-02,106658.29241893002
2021-09-03,106624.49450923201
2021-09-07,106537.44710067203
2021-09-08,106437.62105002602
2021-09-09,106415.54978766602
2021-09-10,106356.13271175201
2021-09-13,106644.224567594
2021-09-14,106430.31896883402
2021-09-15,106821.80540652602
2021-09-16,106609.61187765002
2021-09-17,106581.53805702203
2021-09-20,106581.53805702203
2021-09-21,106581.53805702203
2021-09-22,106581.53805702203
2021-09-23,106581.53805702203
2021-09-24,106581.53805702203
2021-09-27,106581.53805702203
2021-09-28,106581.53805702203
2021-09-29,106564.33484879004
2021-09-30,106698.907667142
2021-10-01,106356.06051603403
2021-10-04,106167.83596553402
2021-10-05,106295.10670269401
2021-10-06,106531.96022610403
2021-10-07,106549.39033516402
2021-10-08,106328.10014582002
2021-10-11,106422.41869455003
2021-10-12,106514.13819743201
2021-10-13,106617.60497500001
2021-10-14,106444.79936713002
2021-10-15,106348.47996564403
2021-10-18,106352.56418054803
2021-10-19,106274.35559060604
2021-10-20,106302.91415391203
2021-10-21,106505.60878903403
2021-10-22,106476.88520694402
2021-10-25,106222.33341895003
2021-10-26,105825.10226484004
2021-10-27,106129.38658886203
2021-10-28,106170.08434646603
2021-10-29,106244.23966252603
2021-11-01,105921.54543041403
2021-11-02,106088.43098940802
2021-11-03,106267.37323330801
