date,equity,cash,mtm_pnl,n_open,drawdown,dd_scale,open_pairs
2021-04-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-05,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-04-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-04,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-05,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-11,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-18,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-19,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-20,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-24,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-25,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-26,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-27,91948.98,91948.98,0.0,0,12.062,0.0,
2021-05-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-03,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-04,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-10,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-11,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-15,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-16,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-17,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-18,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-21,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-22,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-23,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-24,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-25,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-28,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-29,91948.98,91948.98,0.0,0,12.062,0.0,
2021-06-30,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-01,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-02,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-06,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-07,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-08,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-09,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-12,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-13,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-14,91948.98,91948.98,0.0,0,12.062,0.0,
2021-07-15,91948.98,91948.98,0.0,0,12.062,0.0,
