date,equity
2021-07-06,105915.23433013998
2021-07-07,105664.953639916
2021-07-08,105486.363242388
2021-07-09,106136.228162656
2021-07-12,106308.14755095799
2021-07-13,106115.528564136
2021-07-14,105868.32207171198
2021-07-15,106274.81299948
2021-07-16,105986.24829931998
2021-07-19,105498.004204724
2021-07-20,105472.129706574
2021-07-21,105472.129706574
2021-07-22,105472.129706574
2021-07-23,105472.129706574
2021-07-26,105472.129706574
2021-07-27,105472.129706574
2021-07-28,105472.129706574
2021-07-29,105472.129706574
2021-07-30,105472.129706574
2021-08-02,105472.129706574
2021-08-03,105472.129706574
2021-08-04,105472.129706574
2021-08-05,105472.129706574
2021-08-06,105544.086429746
2021-08-09,105230.548996124
2021-08-10,105050.22680050199
2021-08-11,104908.106636208
2021-08-12,104857.10569470598
2021-08-13,105283.0767892
2021-08-16,105302.474977318
2021-08-17,105684.06490290599
2021-08-18,105720.00227518802
2021-08-19,106010.29877344199
2021-08-20,105693.297743632
2021-08-23,105214.87058734399
2021-08-24,105080.835563264
2021-08-25,104981.57996362798
2021-08-26,104743.637053908
2021-08-27,104567.32156275201
2021-08-30,104542.717733026
2021-08-31,104461.94830949401
2021-09-01,104520.84993934199
2021-09-02,104259.953019382
2021-09-03,104230.614925044
2021-09-07,104174.55180449798
2021-09-08,104062.1078963
2021-09-09,103255.35641497199
2021-09-10,103068.32222081999
2021-09-13,103225.30100781399
2021-09-14,102999.19375962402
2021-09-15,102960.397383388
2021-09-16,102960.397383388
2021-09-17,102580.826181022
2021-09-20,102152.12929781199
2021-09-21,102208.335880922
2021-09-22,102474.54091575
2021-09-23,103067.44095078399
2021-09-24,103281.15918183999
2021-09-27,103550.00802677599
2021-09-28,103240.92817996399
2021-09-29,103339.804628538
2021-09-30,102889.21945699198
2021-10-01,103151.981390284
2021-10-04,103292.58495033
2021-10-05,103673.693251596
2021-10-06,104009.74406043999
2021-10-07,104081.48558976599
2021-10-08,104309.22216278999
2021-10-11,104221.19763244998
2021-10-12,104331.007977866
2021-10-13,104586.82222413
2021-10-14,104605.90274514198
2021-10-15,104551.704637928
2021-10-18,104551.704637928
2021-10-19,104551.704637928
2021-10-20,104551.704637928
2021-10-21,104551.704637928
2021-10-22,104551.704637928
2021-10-25,104369.537923626
2021-10-26,104444.60983390201
2021-10-27,104390.421974014
2021-10-28,104444.51760796798
2021-10-29,104429.443791422
2021-11-01,104635.425291348
2021-11-02,104760.657862394
2021-11-03,104493.305127054
2021-11-04,104463.762086196
2021-11-05,104491.583576286
2021-11-08,104478.15957922599
2021-11-09,104700.42408016599
2021-11-10,104828.78208564199
2021-11-11,104556.941021514
2021-11-12,104514.158435464
2021-11-15,104514.158435464
2021-11-16,104514.158435464
2021-11-17,104514.158435464
2021-11-18,104514.158435464
2021-11-19,104514.158435464
2021-11-22,104514.158435464
2021-11-23,104238.66932328
2021-11-24,104075.777829184
2021-11-26,104191.62384961398
2021-11-29,104195.11818778001
2021-11-30,104248.066121222
2021-12-01,104469.54157806
2021-12-02,104006.93629311598
2021-12-03,104107.75973363
2021-12-06,103775.68488727401
2021-12-07,103465.20115679999
2021-12-08,103359.14133269999
2021-12-09,103295.105792526
2021-12-10,103417.889252658
2021-12-13,104072.262996366
2021-12-14,103596.356682274
2021-12-15,104031.21220841001
2021-12-16,103210.473127092
2021-12-17,103730.186759834
2021-12-20,103188.533602126
2021-12-21,103234.872010298
2021-12-22,103320.959796024
2021-12-23,103198.657960214
2021-12-27,102923.076622096
2021-12-28,103102.73274152799
2021-12-29,103246.33876809198
2021-12-30,103316.05132687
2021-12-31,103554.55783951998
2022-01-03,103554.55783951998
2022-01-04,103554.55783951998
2022-01-05,103554.55783951998
2022-01-06,103554.55783951998
2022-01-07,103276.60705082292
2022-01-10,103247.9017273898
2022-01-11,103075.64907587956
2022-01-12,103083.12571495557
2022-01-13,103040.40945984676
2022-01-14,102917.44877786812
2022-01-18,102979.75755532016
2022-01-19,102993.93417428838
2022-01-20,103048.60062537188
2022-01-21,103099.46662418265
2022-01-24,103149.80449474843
2022-01-25,103103.24636554378
2022-01-26,103002.4463589428
2022-01-27,103031.30701421268
2022-01-28,103078.6625135127
2022-01-31,103434.67272790917
2022-02-01,103735.12592202476
2022-02-02,103634.66764546464
2022-02-03,101672.68157081396
2022-02-04,101993.19328278305
2022-02-07,102015.66462183422
2022-02-08,102265.46928171051
2022-02-09,102408.62310246786
2022-02-10,102605.469961465
2022-02-11,102431.62256976402
2022-02-14,102358.19203280001
2022-02-15,102665.02418767851
2022-02-16,102569.81612720086
2022-02-17,102640.65780021886
2022-02-18,102668.12046895792
2022-02-22,102549.09486017717
